Brand,Name,Audience score,Price,Pace,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel lab Heel brand,Forefoot lab Forefoot brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity,Gender,Terrain
Brooks, Launch 9,"87
 Great!",$110,Daily runningTempo,Neutral,7.9 oz / 225g 8.1 oz / 230g,1,9.4 mm 10.0 mm,HeelMid/forefoot,True to size,Balanced,-,-,-,-,Narrow,-,Stiff,Stiff,Flexible,0,0,32.4 mm 36.0 mm,23.0 mm 26.0 mm,NormalWide,1,-,1,#301 Top 47%,#352 Bottom 45%,,
Brooks, Levitate 6,"90
 Superb!",$150,Daily running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/forefoot,True to size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,SummerAll seasons,1,#72 Top 20%,#255 Bottom 30%,,
Adidas,4DFWD,"90
 Superb!",$200,Daily running,Neutral,11.9 oz / 336g 11.5 oz / 327g,0,8.9 mm 10.0 mm,HeelMid/forefoot,True to size,Firm,-,Good,-,Warm,Narrow,-,Stiff,Flexible,Flexible,0,0,33.3 mm 32.5 mm,24.4 mm 22.5 mm,Normal,1,All seasons,1,#104 Top 17%,#368 Bottom 42%,,
Adidas,4DFWD 2,"90
 Superb!",$200,Daily running,Neutral,12.6 oz / 356g 12.4 oz / 352g,0,10.6 mm 11.0 mm,Heel,Slightly small,Firm,-,-,-,Warm,Narrow,-,Stiff,Flexible,Moderate,0,0,31.8 mm 32.0 mm,21.2 mm 21.0 mm,Normal,1,All seasons,1,#126 Top 20%,#541 Bottom 16%,,
Adidas,4DFWD 3,"88
 Great!",$200,Daily running,Neutral,12.3 oz / 348g 12.2 oz / 345g,0,9.9 mm 10.0 mm,HeelMid/forefoot,True to size,Firm,Good,Good,Good,Warm,Narrow,Medium,Moderate,Flexible,Flexible,0,0,32.6 mm 34.0 mm,22.7 mm 24.0 mm,Normal,1,All seasons,1,#116 Top 32%,#339 Bottom 7%,,
Adidas,4DFWD 3,"88
 Great!",$200,Daily running,Neutral,12.3 oz / 348g 12.2 oz / 345g,0,9.9 mm 10.0 mm,HeelMid/forefoot,True to size,Firm,Good,Good,Good,Warm,Narrow,Medium,Moderate,Flexible,Flexible,0,0,32.6 mm 34.0 mm,22.7 mm 24.0 mm,Normal,1,All seasons,1,#116 Top 32%,#339 Bottom 7%,,
Brooks,Addiction GTS 15,"85
 Good!",$140,Daily running,Motion control,12.5 oz / 353g 12.2 oz / 346g,0,12.1 mm 12.0 mm,Heel,Slightly small,Firm,Decent,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,0,0,36.5 mm 36.0 mm,24.4 mm 24.0 mm,NarrowNormalWideX-Wide,1,All seasons,1,#221 Bottom 39%,#159 Top 44%,,
Adidas,Adidas Adizero SL2,"90
 Superb!",$130,Daily runningTempo,Neutral,8.6 oz / 245g 8.4 oz / 238g,1,8.2 mm 9.0 mm,HeelMid/forefoot,Half size small,Balanced,Bad,Good,Decent,Breathable,Wide,Medium,Moderate,Moderate,Flexible,0,0,34.9 mm 35.0 mm,26.7 mm 26.0 mm,NormalWide,1,SummerAll seasons,1,#44 Top 13%,#166 Top 46%,,
Adidas,Adistar,"88
 Great!",$130,Daily running,Neutral,11.5 oz / 325g 11.2 oz / 318g,0,9.6 mm 6.0 mm,HeelMid/forefoot,True to size,Balanced,Decent,Good,-,Moderate,Narrow,Medium,Stiff,Stiff,Flexible,0,1,34.4 mm 37.5 mm,24.8 mm 31.5 mm,Normal,1,All seasons,1,#267 Top 42%,#247 Top 39%,,
Adidas,Adistar 2.0,"83
 Good!",$130,Daily running,Neutral,11.6 oz / 328g 11.6 oz / 328g,0,8.0 mm 6.0 mm,HeelMid/forefoot,Half size small,Balanced,Bad,-,-,Breathable,Narrow,Wide,Stiff,Stiff,Stiff,0,1,33.8 mm 33.0 mm,25.8 mm 27.0 mm,Normal,1,SummerAll seasons,1,#506 Bottom 21%,#643 Bottom 1%,,
