Brand-Name,Audience score,Price,Trail terrain,Shock absorption,Energy return,Traction,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Adidas Terrex Agravic Speed Ultra,90 Great!,$220,Light,Moderate,High,-,Neutral,9.1 oz / 259g 9.5 oz / 270g,0,0.3 mm 8.0 mm,Mid/forefoot,Slightly large,Balanced,Small,0,Good,Good,Decent,Moderate,Medium,Narrow,Moderate,Stiff,Flexible,2.5 mm,30.6 mm 38.0 mm,30.3 mm 30.0 mm,Normal,0,All seasons,1,1,-,#76 Top 21%,#177 Top 47%
Adidas Terrex Speed Ultra,90 Great!,3559500 Rp,Light,-,-,-,Neutral,9.1 oz / 258g 9 oz / 255g,0,8.2 mm 8.0 mm,Heel Mid/forefoot,True to size,-,-,0,-,-,-,-,Narrow,-,Stiff,Flexible,Flexible,2.6 mm,32.8 mm 26.0 mm,24.6 mm 18.0 mm,Normal,0,-,1,1,-,#49 Top 13%,#298 Bottom 21%
Altra Experience Wild,88 Great!,2966250 Rp,Light Moderate,Moderate,Low,-,Neutral,10.1 oz / 285g 9.6 oz / 273g,0,4.3 mm 4.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Decent,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Moderate,3.6 mm,34.5 mm 34.0 mm,30.2 mm 30.0 mm,Normal,0,All seasons,1,1,-,#263 Top 40%,#326 Top 49%
Altra Experience Wild 2,84 Good!,2966250 Rp,Light,Moderate,Low,High,Neutral,9.4 oz / 266g 10.3 oz / 293g,0,6.1 mm 4.0 mm,Mid/forefoot,-,Balanced,Normal,0,Decent,Good,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.5 mm,32.3 mm 32.0 mm,26.2 mm 28.0 mm,Normal,0,All seasons,1,1,-,#245 Bottom 35%,#154 Top 41%
Altra Lone Peak 5.0,91 Superb!,$130,Light Moderate,-,-,-,Neutral,10.7 oz / 302g 10.6 oz / 301g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,-,-,Rock plate,-,-,-,-,Narrow,-,Stiff,Flexible,-,3.7 mm,24.5 mm 25.0 mm,24.3 mm 25.0 mm,Normal,0,-,1,1,-,#68 Top 11%,#55 Top 9%
Altra Lone Peak 6,89 Great!,$140,Moderate Technical,-,-,-,Neutral,9.8 oz / 278g 9.7 oz / 275g,0,0.6 mm 0.0 mm,Mid/forefoot,True to size,-,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.4 mm,25.1 mm 25.0 mm,24.5 mm 25.0 mm,Normal Wide,0,-,0,0,-,#147 Top 22%,#341 Bottom 49%
Altra Lone Peak 7,86 Good!,3164000 Rp,Moderate,-,-,-,Neutral,10.4 oz / 294g 11 oz / 312g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,-,-,-,Moderate,Narrow,-,Stiff,Flexible,Flexible,3.4 mm,23.3 mm 25.0 mm,23.1 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#403 Bottom 40%,#273 Top 41%
Altra Lone Peak 8,81 Good!,$140,Light Moderate,-,-,-,Neutral,10.2 oz / 288g 10.7 oz / 303g,0,1.4 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Small,0,Good,Decent,Decent,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.0 mm,22.7 mm 25.0 mm,21.3 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#567 Bottom 15%,#177 Top 27%
Altra Lone Peak 9,91 Superb!,$140,Light Moderate,Low,Moderate,-,Neutral,10.9 oz / 309g 10.4 oz / 295g,0,0.0 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,Decent,Decent,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.8 mm,23.3 mm 25.0 mm,23.3 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#25 Top 7%,#41 Top 11%
Altra Mont Blanc,79 Good!,$180,Light Moderate,-,-,-,Neutral,9.6 oz / 272g 9.9 oz / 280g,0,0.0 mm,Mid/forefoot,True to size,-,-,0,-,-,-,-,Medium,-,Stiff,-,-,2.8 mm,33.8 mm 30.0 mm,33.8 mm,Normal Wide,0,-,0,0,-,#332 Bottom 12%,#241 Bottom 36%
Altra Mont Blanc Carbon,86 Good!,4943750 Rp,Moderate,-,-,-,Neutral,8.9 oz / 251g 9.3 oz / 264g,0,0.3 mm 0.0 mm,Mid/forefoot,True to size,Soft,Normal,Carbon plate,Decent,Bad,Good,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.5 mm,27.2 mm 29.0 mm,26.9 mm 29.0 mm,Normal,0,All seasons,1,1,-,#189 Top 50%,#273 Bottom 27%
Altra Olympus 275,82 Good!,3856130 Rp,Light,Moderate,Low,High,Neutral,10.7 oz / 303g 10.8 oz / 305g,0,0.3 mm 0.0 mm,Mid/forefoot,-,Balanced,Small,0,Good,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Flexible,3.5 mm,30.8 mm 33.0 mm,30.5 mm 33.0 mm,Normal,0,All seasons,1,1,-,#298 Bottom 21%,#240 Bottom 36%
Altra Olympus 5,83 Good!,3558800 Rp,Light Moderate,-,-,-,Neutral,11.5 oz / 325g 12.3 oz / 350g,0,2.0 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,-,-,-,Moderate,Wide,-,Stiff,Moderate,Moderate,3.0 mm,33.0 mm 33.0 mm,31.0 mm 33.0 mm,Normal,0,All seasons,1,1,-,#526 Bottom 21%,#302 Top 45%
Altra Olympus 6,83 Good!,$175,Light Moderate,Moderate,Moderate,-,Neutral,12.6 oz / 357g 12.5 oz / 354g,0,0.7 mm 0.0 mm,Mid/forefoot,Half size small,Balanced,Normal,0,Very good,Good,Good,Breathable,Medium,Wide,Stiff,Stiff,Moderate,3.5 mm,32.2 mm 35.0 mm,31.5 mm 35.0 mm,Normal,1,Summer All seasons,1,1,-,#273 Bottom 27%,#116 Top 31%
Altra Outroad,81 Good!,2966250 Rp,Light,-,-,-,Neutral,10.1 oz / 287g 10.7 oz / 303g,0,0.1 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,-,-,-,Moderate,Medium,Medium,Stiff,Moderate,Flexible,2.3 mm,25.1 mm 27.0 mm,25.0 mm 27.0 mm,Normal,0,All seasons,1,1,-,#578 Bottom 14%,#527 Bottom 21%
Altra Outroad 2,79 Good!,2570750 Rp,Light,-,-,-,Neutral,10.3 oz / 291g 10.1 oz / 286g,0,1.4 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Small,0,Bad,Decent,Good,Moderate,Medium,Wide,Stiff,Moderate,Moderate,2.2 mm,26.9 mm 27.5 mm,25.5 mm 27.5 mm,Normal,0,All seasons,1,1,-,#610 Bottom 9%,#564 Bottom 16%
Altra Outroad 3,81 Good!,2570750 Rp,Light,-,-,-,Neutral,9.2 oz / 261g 10.7 oz / 303g,0,0.6 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,Decent,Bad,Bad,Warm,Medium,Wide,Stiff,Moderate,Flexible,1.5 mm,23.8 mm 27.0 mm,23.2 mm 27.0 mm,Normal,0,All seasons,1,1,-,#313 Bottom 17%,#283 Bottom 25%
Altra Superior 6,78 Decent!,$130,Light Moderate,-,-,-,Neutral,9.6 oz / 272g 9.1 oz / 258g,0,0.1 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,Very bad,Decent,Good,Breathable,Medium,Wide,Stiff,Moderate,Flexible,3.3 mm,22.1 mm 20.5 mm,22.0 mm 20.5 mm,Normal,0,Summer All seasons,1,1,-,#631 Bottom 6%,#524 Bottom 22%
