Brand,Name,terrain_light,terrain_moderate,terrain_technical,shock_low,shock_moderate,shock_high,energy_low,energy_moderate,energy_high,traction_moderate,traction_high,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,softness_soft,softness_balanced,softness_firm,toebox_durability,heel_durability,outsole_durability,breathability,plate_0,plate_rock_plate,plate_carbon_plate,width_narrow,width_medium,width_wide,toebox_narrow,toebox_medium,toebox_wide,stiffness_flexible,stiffness_moderate,stiffness_stiff,torsional_flexible,torsional_moderate,torsional_stiff,heel_stiff_flexible,heel_stiff_moderate,heel_stiff_stiff,lug_depth,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all,heavy_runners,removable_insole,orthotic_friendly,not_waterproof,waterproof,water_repellent,lightweight
adidas,terrex agravic speed ultra,1,0,0,0,1,0,0,0,1,0,0,1,0,9.1,0.3,0,1,1,0,1,0,4,4,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2.5,30.6,30.3,0,0,1,0,1,1,1,0,0,0
adidas,terrex speed ultra,1,0,0,0,0,0,0,0,0,0,0,1,0,9.1,8.2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2.6,32.8,24.6,0,0,0,0,1,1,1,0,0,0
altra,experience wild,1,1,0,0,1,0,1,0,0,0,0,1,0,10.1,4.3,0,1,1,1,0,0,3,3,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3.6,34.5,30.2,0,0,1,0,1,1,1,0,0,0
altra,experience wild 2,1,0,0,0,1,0,1,0,0,0,1,1,0,9.4,6.1,0,1,1,0,1,0,3,4,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3.5,32.3,26.2,0,0,1,0,1,1,1,0,0,0
altra,lone peak 5.0,1,1,0,0,0,0,0,0,0,0,0,1,0,10.7,0.2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.7,24.5,24.3,0,0,0,0,1,1,1,0,0,0
altra,lone peak 6,0,1,1,0,0,0,0,0,0,0,0,1,0,9.8,0.6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.4,25.1,24.5,0,0,0,0,0,0,1,0,0,0
altra,lone peak 7,0,1,0,0,0,0,0,0,0,0,0,1,0,10.4,0.2,0,1,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.4,23.3,23.1,0,0,1,0,1,1,1,0,0,0
altra,lone peak 8,1,1,0,0,0,0,0,0,0,0,0,1,0,10.2,1.4,0,1,1,0,1,0,4,3,3,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,3.0,22.7,21.3,0,0,1,0,1,1,1,0,0,0
altra,lone peak 9,1,1,0,1,0,0,0,1,0,0,0,1,0,10.9,0.0,0,1,1,0,1,0,3,3,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3.8,23.3,23.3,0,0,1,0,1,1,1,0,0,0
altra,mont blanc,1,1,0,0,0,0,0,0,0,0,0,1,0,9.6,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.8,33.8,33.8,0,0,0,0,0,0,1,0,0,0
