Brand,Name,Audience score,Price,Trail terrain,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Adidas,Terrex Agravic Speed Ultra,"90
 Superb!",$220,Light,Neutral,9.1 oz / 259g 9.5 oz / 270g,0,0.3 mm 8.0 mm,Mid/forefoot,Slightly large,Balanced,0,Good,Good,Decent,Moderate,Medium,Narrow,Moderate,Stiff,Flexible,2.5 mm,30.6 mm 38.0 mm,30.3 mm 30.0 mm,Normal,0,All seasons,1,1,-,#67 Top 19%,#163 Top 45%
Adidas,Terrex Speed Ultra,"90
 Superb!",$160,Light,Neutral,9.1 oz / 258g 9 oz / 255g,0,8.2 mm 8.0 mm,HeelMid/forefoot,True to size,-,0,-,-,-,-,Narrow,-,Stiff,Flexible,Flexible,2.6 mm,32.8 mm 26.0 mm,24.6 mm 18.0 mm,Normal,0,-,1,1,-,#45 Top 13%,#294 Bottom 20%
Altra,Experience Wild,"88
 Great!",$145,LightModerate,Neutral,10.1 oz / 285g 9.6 oz / 273g,0,4.3 mm 4.0 mm,Mid/forefoot,True to size,Soft,0,Decent,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Moderate,3.6 mm,34.5 mm 34.0 mm,30.2 mm 30.0 mm,Normal,0,All seasons,1,1,-,#251 Top 39%,#308 Top 48%
Altra,Experience Wild 2,"79
 Good!",$140,Light,Neutral,9.4 oz / 266g 10.3 oz / 293g,0,6.1 mm 4.0 mm,Mid/forefoot,-,Balanced,0,Decent,Good,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.5 mm,32.3 mm 32.0 mm,26.2 mm 28.0 mm,Normal,0,All seasons,1,1,-,#315 Bottom 14%,#211 Bottom 42%
Altra,Lone Peak 5.0,"91
 Superb!",$130,LightModerate,Neutral,10.7 oz / 302g 10.6 oz / 301g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,-,Rock plate,-,-,-,-,Narrow,-,Stiff,Flexible,-,3.7 mm,24.5 mm 25.0 mm,24.3 mm 25.0 mm,Normal,0,-,1,1,-,#62 Top 10%,#63 Top 10%
Altra,Lone Peak 6,"89
 Great!",$140,ModerateTechnical,Neutral,9.8 oz / 278g 9.7 oz / 275g,0,0.6 mm 0.0 mm,Mid/forefoot,True to size,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.4 mm,25.1 mm 25.0 mm,24.5 mm 25.0 mm,NormalWide,0,-,0,0,-,#139 Top 22%,#290 Top 45%
Altra,Lone Peak 7,"86
 Good!",$150,Moderate,Neutral,10.4 oz / 294g 11 oz / 312g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,Balanced,0,-,-,-,Moderate,Narrow,-,Stiff,Flexible,Flexible,3.4 mm,23.3 mm 25.0 mm,23.1 mm 25.0 mm,NormalWide,0,All seasons,1,1,-,#387 Bottom 40%,#227 Top 36%
Altra,Lone Peak 8,"81
 Good!",$140,LightModerate,Neutral,10.2 oz / 288g 10.7 oz / 303g,0,1.4 mm 0.0 mm,Mid/forefoot,True to size,Balanced,0,Good,Decent,Decent,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.0 mm,22.7 mm 25.0 mm,21.3 mm 25.0 mm,NormalWide,0,All seasons,1,1,-,#540 Bottom 16%,#177 Top 28%
Altra,Lone Peak 9,"91
 Superb!",$140,LightModerate,Neutral,10.9 oz / 309g 10.4 oz / 295g,0,0.0 mm 0.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.8 mm,23.3 mm 25.0 mm,23.3 mm 25.0 mm,NormalWide,0,All seasons,1,1,-,#30 Top 9%,#42 Top 12%
Altra,Lone Peak 9,"91
 Superb!",$140,LightModerate,Neutral,10.9 oz / 309g 10.4 oz / 295g,0,0.0 mm 0.0 mm,Mid/forefoot,True to size,Balanced,0,Decent,Decent,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.8 mm,23.3 mm 25.0 mm,23.3 mm 25.0 mm,NormalWide,0,All seasons,1,1,-,#30 Top 9%,#42 Top 12%
