Brand,Name,Pace,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel lab Heel brand,Forefoot lab Forefoot brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity,Gender,Terrain,Pace_norm,Pace_lists,pace_competition,pace_daily_running,pace_tempo,arch_neutral,arch_stability,Strike_norm,Strike_lists,-,strike_forefoot,strike_heel,strike_mid,fit_category,fit_large,fit_small,fit_true,fit_missing,midsole_soft,midsole_balanced,midsole_firm,toebox_bad,toebox_decent,toebox_good,heelpad_bad,heelpad_decent,heelpad_good,outsole_bad,outsole_decent,outsole_good,breath_breathable,breath_moderate,breath_warm,width_narrow,width_medium,width_wide,toeboxwidth_narrow,toeboxwidth_medium,toeboxwidth_wide,stiff_flexible,stiff_moderate,stiff_stiff,torsion_flexible,torsion_moderate,torsion_stiff,heelcounter_flexible,heelcounter_moderate,heelcounter_stiff,widthavail_norm,widthavail_list,widthavail_narrow,widthavail_normal,widthavail_wide,widthavail_xwide,season_norm,season_list,season_all,season_summer,season_winter,weight_lab_oz,weight_lab_g,weight_brand_oz,weight_brand_g,drop_lab_mm,drop_brand_mm,heel_lab_mm,heel_brand_mm,forefoot_lab_mm,forefoot_brand_mm
Brooks, Launch 9,Daily Runningtempo,Neutral,7.9 oz / 225g 8.1 oz / 230g,1,9.4 mm 10.0 mm,Heelmid/Forefoot,True To Size,Balanced,-,-,-,-,Narrow,-,Stiff,Stiff,Flexible,0,0,32.4 mm 36.0 mm,23.0 mm 26.0 mm,Normalwide,1,-,1,#301 Top 47%,#352 Bottom 45%,,,Daily Running|Tempo,"['Daily Running', 'Tempo']",0,1,1,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,,,0,0,0,7.9,225,8.1,230.0,9.4,10.0,32.4,36.0,23.0,26.0
Brooks, Levitate 6,Daily Running,Neutral,10.7 oz / 304g 10.9 oz / 309g,0,7.7 mm 8.0 mm,Mid/Forefoot,True To Size,Soft,Good,Good,Good,Breathable,Narrow,Medium,Stiff,Moderate,Moderate,0,0,34.3 mm 32.5 mm,26.6 mm 24.5 mm,Normal,1,Summerall Seasons,1,#72 Top 20%,#255 Bottom 30%,,,Daily Running,['Daily Running'],0,1,0,1,0,Mid|Forefoot,"['Mid', 'Forefoot']",0,1,0,1,true,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,Normal,['Normal'],0,1,0,0,Summer|All,"['Summer', 'All']",1,1,0,10.7,304,10.9,309.0,7.7,8.0,34.3,32.5,26.6,24.5
Adidas,4DFWD,Daily Running,Neutral,11.9 oz / 336g 11.5 oz / 327g,0,8.9 mm 10.0 mm,Heelmid/Forefoot,True To Size,Firm,-,Good,-,Warm,Narrow,-,Stiff,Flexible,Flexible,0,0,33.3 mm 32.5 mm,24.4 mm 22.5 mm,Normal,1,All Seasons,1,#104 Top 17%,#368 Bottom 42%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Normal,['Normal'],0,1,0,0,All,['All'],1,0,0,11.9,336,11.5,327.0,8.9,10.0,33.3,32.5,24.4,22.5
Adidas,4DFWD 2,Daily Running,Neutral,12.6 oz / 356g 12.4 oz / 352g,0,10.6 mm 11.0 mm,Heel,Slightly Small,Firm,-,-,-,Warm,Narrow,-,Stiff,Flexible,Moderate,0,0,31.8 mm 32.0 mm,21.2 mm 21.0 mm,Normal,1,All Seasons,1,#126 Top 20%,#541 Bottom 16%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel,['Heel'],0,0,1,0,small,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Normal,['Normal'],0,1,0,0,All,['All'],1,0,0,12.6,356,12.4,352.0,10.6,11.0,31.8,32.0,21.2,21.0
Adidas,4DFWD 3,Daily Running,Neutral,12.3 oz / 348g 12.2 oz / 345g,0,9.9 mm 10.0 mm,Heelmid/Forefoot,True To Size,Firm,Good,Good,Good,Warm,Narrow,Medium,Moderate,Flexible,Flexible,0,0,32.6 mm 34.0 mm,22.7 mm 24.0 mm,Normal,1,All Seasons,1,#116 Top 32%,#339 Bottom 7%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Normal,['Normal'],0,1,0,0,All,['All'],1,0,0,12.3,348,12.2,345.0,9.9,10.0,32.6,34.0,22.7,24.0
Brooks,Addiction GTS 15,Daily Running,Motion Control,12.5 oz / 353g 12.2 oz / 346g,0,12.1 mm 12.0 mm,Heel,Slightly Small,Firm,Decent,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,0,0,36.5 mm 36.0 mm,24.4 mm 24.0 mm,Narrownormalwidex-Wide,1,All Seasons,1,#221 Bottom 39%,#159 Top 44%,,,Daily Running,['Daily Running'],0,1,0,0,1,Heel,['Heel'],0,0,1,0,small,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,Narrow|Normal|Wide|X-Wide,"['Narrow', 'Normal', 'Wide', 'X-Wide']",1,1,1,1,All,['All'],1,0,0,12.5,353,12.2,346.0,12.1,12.0,36.5,36.0,24.4,24.0
Adidas,Adidas Adizero SL2,Daily Runningtempo,Neutral,8.6 oz / 245g 8.4 oz / 238g,1,8.2 mm 9.0 mm,Heelmid/Forefoot,Half Size Small,Balanced,Bad,Good,Decent,Breathable,Wide,Medium,Moderate,Moderate,Flexible,0,0,34.9 mm 35.0 mm,26.7 mm 26.0 mm,Normalwide,1,Summerall Seasons,1,#44 Top 13%,#166 Top 46%,,,Daily Running|Tempo,"['Daily Running', 'Tempo']",0,1,1,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,small,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,Summer|All,"['Summer', 'All']",1,1,0,8.6,245,8.4,238.0,8.2,9.0,34.9,35.0,26.7,26.0
Adidas,Adistar,Daily Running,Neutral,11.5 oz / 325g 11.2 oz / 318g,0,9.6 mm 6.0 mm,Heelmid/Forefoot,True To Size,Balanced,Decent,Good,-,Moderate,Narrow,Medium,Stiff,Stiff,Flexible,0,1,34.4 mm 37.5 mm,24.8 mm 31.5 mm,Normal,1,All Seasons,1,#267 Top 42%,#247 Top 39%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,true,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,Normal,['Normal'],0,1,0,0,All,['All'],1,0,0,11.5,325,11.2,318.0,9.6,6.0,34.4,37.5,24.8,31.5
Adidas,Adistar 2.0,Daily Running,Neutral,11.6 oz / 328g 11.6 oz / 328g,0,8.0 mm 6.0 mm,Heelmid/Forefoot,Half Size Small,Balanced,Bad,-,-,Breathable,Narrow,Wide,Stiff,Stiff,Stiff,0,1,33.8 mm 33.0 mm,25.8 mm 27.0 mm,Normal,1,Summerall Seasons,1,#506 Bottom 21%,#643 Bottom 1%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel|Mid|Forefoot,"['Heel', 'Mid', 'Forefoot']",0,1,1,1,small,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,Normal,['Normal'],0,1,0,0,Summer|All,"['Summer', 'All']",1,1,0,11.6,328,11.6,328.0,8.0,6.0,33.8,33.0,25.8,27.0
Adidas,Adistar 3,Daily Running,Neutral,9.7 oz / 274g 9.5 oz / 270g,0,10.5 mm 5.0 mm,Heel,True To Size,Soft,Bad,Decent,Good,Breathable,Medium,Medium,Moderate,Stiff,Stiff,0,0,40.7 mm 40.0 mm,30.2 mm 35.0 mm,Normalwide,1,Summerall Seasons,1,#97 Top 27%,#241 Bottom 33%,,,Daily Running,['Daily Running'],0,1,0,1,0,Heel,['Heel'],0,0,1,0,true,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,Normal|Wide,"['Normal', 'Wide']",0,1,1,0,Summer|All,"['Summer', 'All']",1,1,0,9.7,274,9.5,270.0,10.5,5.0,40.7,40.0,30.2,35.0
