Brand,Name,Lightweight,Size,Lug depth,Widths available,For heavy runners,Removable insole,Orthotic friendly,Ranking,Popularity,terrain_norm,terrain_light,terrain_moderate,terrain_technical,Arch_grouped,arch_neutral,arch_stability,Strike_norm,strike_forefoot,strike_heel,strike_mid,drop_lab_mm,drop_brand_mm,midsole_soft,midsole_balanced,midsole_firm,plate_carbon,plate_rock,plate_none,toebox_bad,toebox_decent,toebox_good,heelpad_bad,heelpad_decent,heelpad_good,outsole_bad,outsole_decent,outsole_good,breath_breathable,breath_moderate,breath_warm,width_narrow,width_medium,width_wide,toeboxwidth_narrow,toeboxwidth_medium,toeboxwidth_wide,stiff_flexible,stiff_moderate,stiff_stiff,torsion_flexible,torsion_moderate,torsion_stiff,heelcounter_flexible,heelcounter_moderate,heelcounter_stiff,heel_lab_mm,heel_brand_mm,forefoot_lab_mm,forefoot_brand_mm,season_all,season_summer,season_winter,water_proof,water_repellent,water_both,water_none
Adidas,Terrex Agravic Speed Ultra,0,Slightly large,2.5 mm,Normal,0,1,1,#67 Top 19%,#163 Top 45%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.3,8.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,30.6,38.0,30.3,30.0,1,0,0,0,0,0,1
Adidas,Terrex Speed Ultra,0,True to size,2.6 mm,Normal,0,1,1,#45 Top 13%,#294 Bottom 20%,Light,1,0,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.2,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,32.8,26.0,24.6,18.0,0,0,0,0,0,0,1
Altra,Experience Wild,0,True to size,3.6 mm,Normal,0,1,1,#251 Top 39%,#308 Top 48%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,4.3,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,34.5,34.0,30.2,30.0,1,0,0,0,0,0,1
Altra,Experience Wild 2,0,-,3.5 mm,Normal,0,1,1,#315 Bottom 14%,#211 Bottom 42%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.1,4.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,32.3,32.0,26.2,28.0,1,0,0,0,0,0,1
Altra,Lone Peak 5.0,0,True to size,3.7 mm,Normal,0,1,1,#62 Top 10%,#63 Top 10%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24.5,25.0,24.3,25.0,0,0,0,0,0,0,1
Altra,Lone Peak 6,0,True to size,4.4 mm,NormalWide,0,0,0,#139 Top 22%,#290 Top 45%,Moderate|Technical,0,1,1,Neutral,1,0,Mid|Forefoot,1,0,1,0.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25.1,25.0,24.5,25.0,0,0,0,0,0,0,1
Altra,Lone Peak 7,0,True to size,3.4 mm,NormalWide,0,1,1,#387 Bottom 40%,#227 Top 36%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.2,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,23.3,25.0,23.1,25.0,1,0,0,0,0,0,1
Altra,Lone Peak 8,0,True to size,3.0 mm,NormalWide,0,1,1,#540 Bottom 16%,#177 Top 28%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,1.4,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,22.7,25.0,21.3,25.0,1,0,0,0,0,0,1
Altra,Lone Peak 9,0,True to size,3.8 mm,NormalWide,0,1,1,#30 Top 9%,#42 Top 12%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,23.3,25.0,23.3,25.0,1,0,0,0,0,0,1
Altra,Mont Blanc,0,True to size,2.8 mm,NormalWide,0,0,0,#317 Bottom 13%,#232 Bottom 36%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33.8,30.0,33.8,,0,0,0,0,0,0,1
